intent,example
affirm,بله، همینه
affirm,آره، همین‌طور
affirm,بله، کاملاً
affirm,آره، درست
affirm,بله، قطعاً
affirm,آره، صحیح
affirm,بله، همین‌طوره
affirm,بله، موافقم
affirm,بله، همین‌طور که گفتی
affirm,آره، کاملاً
affirm,بله، همینه که هست
affirm,آره، موافقم باهات
affirm,بله، بی‌شک
affirm,درسته؟
affirm,همینه؟
affirm,قطعیه؟
affirm,درست متوجه شدم؟
affirm,قبول داری؟
affirm,مطمئنی؟
affirm,کاملاً درسته؟
affirm,بی‌شک درسته؟
affirm,صحیحه؟
affirm,این‌طور که گفتی؟
affirm,بی‌چون و چرا؟
affirm,کاملاً متوجه شدم؟
affirm,صحت داره؟
affirm,واقعاً همین‌طوره؟
affirm,آره، کاملاً درسته، همینی که گفتید.
affirm,بله، موافقم با حرفتون، دقیقاً همین‌طور هست.
affirm,آره، درسته، کاملاً مطابق با چیزی که اشاره کردید.
affirm,بله، همین‌طور که می‌گید، هیچ تفاوتی نداره.
affirm,آره، حرف شما کاملاً درسته، هیچ اختلاف نظری نیست.
affirm,بله، درسته، همین‌طور که اشاره کردید.
affirm,آره، دقیقاً همینی که شما گفتید، هیچ تغییری نیست.
affirm,بله، کاملاً صحیح، همونی که گفتید.
affirm,بله، همون‌طور که فرمودید، کاملاً درسته.
affirm,آره، کاملاً همین‌طور که گفتید، درسته.
affirm,بله، همون چیزی که اشاره کردید، صحیحه.
affirm,بله، همین‌طور که می‌گید، درسته.
affirm,آره، قطعاً همینه که فرمودید، هیچ شکی نیست.
affirm,قطعاً، همینه که گفتید، هیچ تردیدی نیست.
affirm,بله، شما درست فرمودید، همین‌طوره.
affirm,آره، مطمئنم، دقیقاً همینه.
affirm,آره، قطعاً، همین‌طور که اشاره کردید.
affirm,بله، همون‌طور که توضیح دادید، درسته.
affirm,آره، درسته، هیچ شکی نیست.
affirm,بله، حرف شما کاملاً درسته، هیچ اختلافی نیست.
affirm,آره، موافقم، همون‌طور که گفتید.
affirm,بله، دقیقاً همینی که شما گفتید.
affirm,آره، قطعاً همین‌طوره، درست فرمودید.
affirm,بله، هیچ شکی نیست، درست گفتید.
affirm,بله، مطمئنم که همینه.
affirm,آره، کاملاً صحیحه، همون‌طور که گفتید.
affirm,بله، درسته، هیچ تفاوتی نداره.
affirm,آره، همینی که شما می‌فرمایید.
affirm,بله، موافقم، درست گفتید.
affirm,بله، کاملاً همین‌طور که شما بیان کردید.
affirm,آره، دقیقا
affirm,درسته
affirm,آره درسته
affirm,بله همینه
affirm,بلی
affirm,یس
affirm,درسته درسته
affirm,آری
repeat,دوباره تکرار می‌کنی؟
repeat,می‌شود دوباره بگویی؟
repeat,لطفاً دوباره توضیح بدهید.
repeat,مجدداً می‌فرمایید؟
repeat,مجدداً می‌توانید توضیح دهید؟
repeat,لطفاً مجدداً بیان کنید.
repeat,لطفاً دوباره توضیح بفرمایید.
repeat,لطفاً یک بار دیگر بگویید.
repeat,لطفاً مجدداً بفرمایید.
repeat,لطفاً مجدداً توضیح دهید.
repeat,یک بار دیگر بگویید.
repeat,یک بار دیگر تکرار کنید.
repeat,می‌شود مجدداً بگویید؟
repeat,می‌شود باز هم توضیح دهید؟
repeat,می‌شود باز هم تکرار کنید؟
repeat,لطفاً باز هم بفرمایید.
repeat,می‌توانید دوباره بیان کنید؟
repeat,آیا می‌توانید مجدداً شرح دهید؟
repeat,ممکن است دوباره توضیح بدهید؟
repeat,لطفاً یک بار دیگر توضیح بدهید.
repeat,می‌شود باز هم بگویید؟
repeat,می‌توانید بار دیگر تکرار کنید؟
repeat,آیا ممکن است مجدداً بگویید؟
repeat,می‌توانید یک بار دیگر بفرمایید؟
repeat,آیا می‌توانید دوباره توضیح دهید؟
repeat,لطفاً دوباره بفرمایید.
repeat,ممکن است دوباره بفرمایید؟
repeat,لطفاً دوباره تشریح کنید.
repeat,لطفاً مجدداً تشریح کنید.
repeat,می‌شود مجدداً شرح دهید؟
repeat,لطفاً مجدداً شرح بفرمایید.
repeat,می‌توانید مجدداً توضیح دهید؟
repeat,دوباره می‌گی چی شد؟
repeat,می‌شه یه بار دیگه بگی؟
repeat,می‌تونی دوباره بگی؟
repeat,یه بار دیگه می‌گی؟
repeat,دوباره می‌تونی توضیح بدی؟
repeat,بازم می‌تونی بگی؟
repeat,می‌شه دوباره بگی؟
repeat,می‌تونی دوباره بگی چی شد؟
repeat,لطفاً دوباره می‌گی؟
repeat,یه بار دیگه توضیح می‌دی؟
repeat,لطفاً دوباره توضیح می‌دی؟
repeat,دوباره تکرار می‌کنی؟
repeat,دوباره بگو چی شد؟
repeat,می‌تونی مجدداً بگی؟
repeat,یه بار دیگه بگو
repeat,باز توضیح می‌دی؟
repeat,می‌تونی مجدد توضیح بدی؟
repeat,یه بار دیگه تکرار می‌کنی؟
repeat,لطفاً باز هم بگو.
repeat,یه بار دیگه می‌تونی بگی؟
repeat,میشه دوباره بگی؟
repeat,یه توضیح دیگه می‌دی؟
repeat,دوباره بگو ببینم.
repeat,یه بار دیگه میشه بگی؟
repeat,می‌تونی باز هم بگی؟
repeat,لطفاً مجدداً بگو.
repeat,یه بار دیگه میگی چی شد؟
repeat,دوباره تکرار کن لطفاً.
repeat,یه بار دیگه بگو ببینم چی گفتی.
repeat,دوباره بگو لطفاً چی گفتی.
repeat,لطفاً دوباره میشه بگی؟
repeat,لطفاً دوباره بگو
repeat,میشه دوباره تکرار کنی؟
repeat,می‌تونی یک بار دیگه بگی؟
repeat,باز هم بگو
repeat,یک بار دیگه بگو
repeat,لطفاً باز هم تکرار کن
repeat,یک بار دیگه توضیح بده
repeat,لطفاً یک بار دیگه بگو
repeat,می‌شه تکرار کنی؟
repeat,باز هم می‌گی؟
repeat,یک بار دیگه تکرار کن
repeat,دوباره بیان کن
repeat,می‌تونی باز هم بگی؟
repeat,دوباره بگو
repeat,میشه یک بار دیگه بگی؟
repeat,لطفاً مجدداً بگو
repeat,یه بار دیگه بگو
repeat,باز هم توضیح بده لطفاً
repeat,یک بار دیگه بیان کن لطفاً
repeat,یک بار دیگه لطفاً
repeat,دوباره تکرار کن
repeat,باز هم بگو لطفاً
repeat,میشه یک بار دیگه توضیح بدی؟
repeat,باز هم بیان کن لطفاً
repeat,لطفاً باز هم بگو
repeat,یک بار دیگه تکرار کن لطفاً
repeat,میشه یک بار دیگه با جزئیات بیشتری بگی که منظور دقیقاً چی بود؟
repeat,میشه دوباره به طور واضح توضیح بدی که چه مسائلی رو مطرح کردی؟
repeat,لطفاً یک بار دیگه به من بگو، چون نیاز دارم مطمئن بشم که درست فهمیدم.
repeat,می‌تونی مجدداً و با دقت بیشتری بگی که دقیقا چی گفتی؟
repeat,می‌خوام مطمئن بشم که کاملاً متوجه شدم، میشه دوباره تکرار کنی؟
repeat,لطفاً باز هم توضیح بده، چون می‌خوام مطمئن بشم که هیچ چیزی رو اشتباه متوجه نشدم.
repeat,می‌تونی دوباره با دقت بیشتری بگی که چی گفتی، چون نیاز دارم همه چیز رو درست بفهمم.
repeat,لطفاً یک بار دیگه همه چیز رو بیان کن، چون احساس می‌کنم برخی از موارد رو درست متوجه نشدم.
repeat,لطفاً مجدداً و با جزئیات بیشتری توضیح بده، چون برخی از موارد رو کاملاً درک نکردم.
repeat,میشه دوباره و با توضیحات بیشتری بگی که دقیقاً چی گفتی؟
repeat,لطفاً باز هم بگو، می‌خوام مطمئن بشم که هیچ نکته‌ای رو از دست ندادم.
repeat,می‌تونی یک بار دیگه با جزئیات کامل بگی که دقیقاً چی اتفاق افتاد؟
repeat,لطفاً مجدداً بگو که منظورت چی بود، چون ممکنه برخی از نکات رو از دست داده باشم.
repeat,می‌خوام مطمئن بشم که همه چیز رو درست فهمیدم، میشه دوباره تکرار کنی؟
repeat,لطفاً یک بار دیگه به من بگو که دقیقاً چی گفتی، چون شاید درست نشنیدم.
repeat,میشه لطفاً باز هم توضیح بدی که دقیقاً چه گفتی؟
repeat,لطفاً یک بار دیگه همه چیز رو بیان کن، چون می‌خوام مطمئن بشم که درست متوجه شدم.
repeat,می‌خوام دوباره بشنوم که چی گفتی، لطفاً تکرار کن.
repeat,میشه لطفاً یک بار دیگه و با دقت بیشتری توضیح بدی؟
repeat,لطفاً یک بار دیگه همه چیز رو بیان کن، چون به نظرم برخی از نکات رو درست متوجه نشدم.
repeat,لطفاً مجدداً و با توضیحات بیشتری بگو که منظورت چی بود.
repeat,می‌تونی لطفاً دوباره با جزئیات بیشتری توضیح بدی؟
repeat,لطفاً یک بار دیگه بگو که دقیقاً چی گفتی، چون ممکنه برخی از جزئیات رو از دست داده باشم.
repeat,دوباره میگی
repeat,لطفا دوباره میگی
repeat,گفتی چند؟
repeat,گفتی چقدر؟
repeat,دوباره تکرار میکنی
repeat,یه بار دیگه می گی
repeat,لطفا جمله ی آخرتو یبار دیگه بگو
repeat,جمله ی آخرتون رو یه بار دیگه تکرار کنین
citizen_account_balance,لطفاً میزان موجودی در حساب شهروندی را اطلاع دهید.
citizen_account_balance,می‌خواهم بدانم میزان موجودی حساب شهروندی چقدر است.
citizen_account_balance,موجودی حساب شهروندی خود را اعلام فرمایید.
citizen_account_balance,می‌توانید میزان موجودی حساب شهروندی را اعلام کنید؟
citizen_account_balance,میزان موجودی حساب شهروندی من چقدر است؟
citizen_account_balance,می‌خواهم از موجودی حساب شهروندی مطلع شوم.
citizen_account_balance,موجودی فعلی حساب شهروندی چقدر است؟
citizen_account_balance,می‌شود میزان موجودی حساب شهروندی را بگویید؟
citizen_account_balance,خواهشمندم موجودی حساب شهروندی را بفرمایید.
citizen_account_balance,لطفاً اطلاعاتی درباره موجودی حساب شهروندی ارائه دهید.
citizen_account_balance,موجودی حساب شهروندی چه مقدار است؟
citizen_account_balance,خواهشمند است موجودی حساب شهروندی را اعلام کنید.
citizen_account_balance,لطفاً موجودی حساب شهروندی را بررسی کنید.
citizen_account_balance,موجودی حساب شهروندی را بفرمایید.
citizen_account_balance,وضعیت موجودی حساب شهروندی من چگونه است؟
citizen_account_balance,موجودی حساب شهروندی را اعلام نمایید.
citizen_account_balance,می‌خواهم از موجودی حساب شهروندی خود مطلع شوم.
citizen_account_balance,موجودی حساب شهروندی را می‌توانید بفرمایید؟
citizen_account_balance,موجودی حساب شهروندی من را بگویید.
citizen_account_balance,خواهشمندم میزان موجودی حساب شهروندی را بررسی کنید.
citizen_account_balance,لطفاً موجودی حساب شهروندی من را اعلام فرمایید.
citizen_account_balance,می‌توانید میزان دقیق موجودی حساب شهروندی را بفرمایید؟
citizen_account_balance,موجودی حساب شهروندی من چقدر می‌باشد؟
citizen_account_balance,می‌تونی بهم بگی چقدر تو حسابم دارم؟
citizen_account_balance,موجودی حسابم رو چک می‌کنی؟
citizen_account_balance,ببین موجودی حسابم چقدره.
citizen_account_balance,یه نگاه به موجودی حسابم بنداز.
citizen_account_balance,ببین چقدر تو حسابم پول دارم.
citizen_account_balance,می‌خوام بدونم موجودی حسابم چقدره.
citizen_account_balance,می‌شه موجودی حسابم رو ببینی؟
citizen_account_balance,لطفاً موجودی حسابم رو چک کن.
citizen_account_balance,چقدر پول تو حساب شهروندیم دارم؟
citizen_account_balance,موجودی حساب شهروندیم چقدره؟
citizen_account_balance,می‌شه ببینی موجودی حساب شهروندیم چقدره؟
citizen_account_balance,بگو ببینم تو حسابم چقدر پول دارم؟
citizen_account_balance,می‌تونی چک کنی موجودی حسابم چقدره؟
citizen_account_balance,حساب شهروندیم چقدر موجودی داره؟
citizen_account_balance,یه بررسی کن ببین حسابم چقدره.
citizen_account_balance,می‌خوام بدونم چقدر تو حساب شهروندیم پول دارم.
citizen_account_balance,موجودی حسابم چقدر شده؟
citizen_account_balance,چقدر تو حسابم پول مونده؟
citizen_account_balance,می‌تونی ببینی چقدر پول تو حسابم دارم؟
citizen_account_balance,می‌خوام بدونم تو حسابم چقدر موجودی دارم.
citizen_account_balance,بگو ببینم چقدر تو حسابم پول هست.
citizen_account_balance,می‌تونی موجودی حساب شهروندیم رو ببینی؟
citizen_account_balance,موجودی حسابم رو می‌تونی بگی؟
citizen_account_balance,بگو ببینم تو حسابم چقدر مونده.
citizen_account_balance,می‌خوام بدونم حساب شهروندیم چقدر موجودی داره.
citizen_account_balance,یه نگاه به حسابم بنداز ببین چقدر پول دارم.
citizen_account_balance,می‌تونی بگی چقدر تو حساب شهروندیم دارم؟
citizen_account_balance,چقدر دارم؟
citizen_account_balance,حساب چقدر؟
citizen_account_balance,موجودی؟
citizen_account_balance,پول حسابم؟
citizen_account_balance,چک کن موجودی.
citizen_account_balance,موجودی لطفاً.
citizen_account_balance,موجودی بگو.
citizen_account_balance,بگو موجودی.
citizen_account_balance,موجودی بررسی.
citizen_account_balance,میزان حساب؟
citizen_account_balance,موجودی حسابم چقدر؟
citizen_account_balance,وضعیت حساب؟
citizen_account_balance,چک کن حسابم.
citizen_account_balance,حساب شهروندی؟
citizen_account_balance,پول موجود؟
citizen_account_balance,حساب رو ببین.
citizen_account_balance,پول حساب چقدر؟
citizen_account_balance,چقدر تو حسابم؟
citizen_account_balance,موجودی رو بگو.
citizen_account_balance,بگو چقدر دارم.
citizen_account_balance,حسابم چقدر موجودی داره؟
citizen_account_balance,موجودی حساب شهروندی من چقدره؟
citizen_account_balance,چقدر پول توی حساب شهروندی دارم؟
citizen_account_balance,میشه بگی موجودی حساب شهروندی من چقدره؟
citizen_account_balance,لطفاً میزان موجودی حساب شهروندی منو اعلام کن
citizen_account_balance,می‌تونید موجودی حساب شهروندی منو بگید؟
citizen_account_balance,چقدر توی حساب شهروندی‌ام دارم؟
citizen_account_balance,موجودی حساب شهروندی‌ام را می‌خواستم بدونم
citizen_account_balance,لطفاً بگید موجودی حساب شهروندی‌ام چقدره
citizen_account_balance,می‌خواستم بدونم حساب شهروندی‌ام چقدر موجودی داره
citizen_account_balance,لطفاً اعلام کنید موجودی حساب شهروندی‌ام چقدره
citizen_account_balance,موجودی حساب شهروندی چقدره؟
citizen_account_balance,لطفاً بگید میزان موجودی در حساب شهروندی من چقدره
citizen_account_balance,می‌خواستم بدونم موجودی حساب شهروندی‌ام چقدر هست؟
citizen_account_balance,موجودی حساب شهروندی منو می‌تونی بگی؟
citizen_account_balance,چقدر پول در حساب شهروندی‌ام دارم؟
citizen_account_balance,میزان موجودی در حساب شهروندی چقدر است؟
citizen_account_balance,لطفاً بگویید موجودی حساب شهروندی چقدره؟
citizen_account_balance,میزان پول موجود در حساب شهروندی من چقدره؟
citizen_account_balance,موجودی حساب شهروندی من چقدر است؟
citizen_account_balance,می‌خواستم بدونم در حساب شهروندی‌ام چقدر پول دارم؟
citizen_account_balance,لطفاً موجودی حساب شهروندی منو اعلام کنید
citizen_account_balance,چقدر موجودی در حساب شهروندی دارم؟
citizen_account_balance,میزان پول در حساب شهروندی من چقدر است؟
citizen_account_balance,می‌خوام بدونم توی حساب شهروندی‌ام چقدر پول هست؟
citizen_account_balance,موجودی حساب شهروندی من چقدر است؟
citizen_account_balance,لطفاً میزان موجودی حساب شهروندی را اعلام کنید
citizen_account_balance,موجودی حساب شهروندی منو می‌تونید بگید؟
citizen_account_balance,میزان موجودی حساب شهروندی من چقدره؟
citizen_account_balance,میشه موجودی حساب شهروندی منو اعلام کنید؟
citizen_account_balance,چقدر توی حساب شهروندی پول دارم؟
citizen_account_balance,موجودی حساب شهروندی من چقدره؟
citizen_account_balance,لطفاً موجودی حساب شهروندی منو بگید
citizen_account_balance,میزان موجودی در حساب شهروندی چقدره؟
citizen_account_balance,موجودی حساب شهروندی من چقدره؟
citizen_account_balance,لطفاً میزان موجودی حساب شهروندی منو بگید
citizen_account_balance,چقدر موجودی در حساب شهروندی دارم؟
citizen_account_balance,می‌خواهم بدانم موجودی حساب شهروندی من چقدر است؟
citizen_account_balance,آیا می‌توانید میزان موجودی حساب شهروندی من را بگویید؟
citizen_account_balance,لطفاً میزان موجودی حساب شهروندی من را بررسی کنید
citizen_account_balance,می‌خواستم بدانم موجودی حساب شهروندی من چقدر می‌باشد
citizen_account_balance,موجودی حساب شهروندی من چقدر می‌باشد؟
citizen_account_balance,می‌توانید میزان موجودی حساب شهروندی من را اعلام کنید؟
citizen_account_balance,لطفاً موجودی حساب شهروندی من را اطلاع دهید
citizen_account_balance,چقدر پول در حساب شهروندی‌ام موجود است؟
citizen_account_balance,می‌خواستم بدانم چقدر در حساب شهروندی‌ام پول دارم
citizen_account_balance,لطفاً به من بگویید موجودی حساب شهروندی من چقدر است
citizen_account_balance,میزان موجودی حساب شهروندی من چقدر می‌باشد؟
citizen_account_balance,آیا می‌توانید به من بگویید چقدر در حساب شهروندی‌ام پول دارم؟
citizen_account_balance,لطفاً بررسی کنید و بگویید موجودی حساب شهروندی من چقدر است
citizen_account_balance,می‌خواستم بدانم موجودی حساب شهروندی من چه میزان است؟
citizen_account_balance,موجودی حساب شهروندی من چقدر است؟
citizen_account_balance,می‌توانید به من بگویید موجودی حساب شهروندی‌ام چقدر است؟
citizen_account_balance,لطفاً میزان موجودی حساب شهروندی من را به من اعلام کنید
citizen_account_balance,چقدر پول در حساب شهروندی‌ام موجود است؟
citizen_account_balance,لطفاً بررسی کنید که موجودی حساب شهروندی من چقدر است؟
citizen_account_balance,اعلام میزان موجودی در حساب شهروندی
citizen_account_balance,میخواستم موجودی حساب شهروندیم رو بدونم؟
citizen_account_balance,موجودی حساب شهروندی من چقدره؟
citizen_account_balance,ببخشید میخواستم موجودی حساب شهروندیم رو بدونم
citizen_account_balance,چقدر توی حساب شهروندی بنده هست؟
citizen_account_balance,می خواستم موجودی حسابم رو بگیرم
citizen_account_balance,موجودی حساب شهروندی
citizen_account_balance,میزان موجودی حساب شهروندی
citizen_account_balance,حساب شهروندیم چقدر شارژ داره
citizen_account_balance,چقدر از شارژ حساب شهروندیم باقی مونده؟
citizen_account_balance,میزان اعتیار حساب شهروندی من چقدره؟
help,چطور کار می‌کنید؟
help,روش کار شما به چه صورت است؟
help,روال کار شما چگونه است؟
help,شما چگونه کار می‌کنید؟
help,شیوه کار شما چیست؟
help,مکانیزم کار شما به چه شکل است؟
help,می‌توانید نحوه کارتان را توضیح دهید؟
help,چگونگی کار شما چگونه است؟
help,روش عملکرد شما چیست؟
help,مراحل کار شما چگونه است؟
help,می‌شود روال کاری‌تان را توضیح دهید؟
help,فرآیند کاری شما به چه صورت است؟
help,لطفاً شیوه کارتان را شرح دهید
help,می‌توانید مکانیزم کاری خود را توضیح دهید؟
help,روش انجام کار شما چگونه است؟
help,لطفاً فرآیند کار خود را توضیح دهید
help,می‌شود درباره نحوه کارتان توضیح دهید؟
help,می‌توانید روال کاری‌تان را شرح دهید؟
help,نحوه انجام کار شما چیست؟
help,لطفاً شیوه انجام کار خود را بگویید
help,مراحل کاری شما به چه صورت است؟
help,چگونه کارتان را انجام می‌دهید؟
help,روال انجام کار شما چیست؟
help,مکانیزم عملکرد شما چگونه است؟
help,مراحل انجام کار شما چیست؟
help,چطور می‌توانم با نحوه کار شما آشنا شوم؟
help,جزئیات کار شما به چه صورت است؟
help,روند کار شما چگونه است؟
help,می‌توانید توضیح دهید که کارتان چگونه پیش می‌رود؟
help,سیستم کاری شما چیست؟
help,روش‌های کار شما به چه شکل است؟
help,نحوه پیشبرد کارتان چیست؟
help,می‌شود روش کارتان را توضیح دهید؟
help,از چه روشی برای کارتان استفاده می‌کنید؟
help,چطور کارتان را پیش می‌برید؟
help,می‌توانید روال انجام کار خود را توضیح دهید؟
help,می‌شود مراحل کارتان را بگویید؟
help,روند انجام کار شما چیست؟
help,مکانیزم کار شما چگونه پیش می‌رود؟
help,شیوه انجام کار شما چیست؟
help,چجوری کار می‌کنی؟
help,کارت رو چطوری انجام می‌دی؟
help,مکانیزمت چیه؟
help,روال کارت چطوریه؟
help,چطور کارتو پیش می‌بری؟
help,روش کاریت چیه؟
help,چیکار می‌کنی؟
help,کارتو چطور انجام می‌دی؟
help,فرآیند کارت چطوریه؟
help,چه جوری کار می‌کنی؟
help,چطوری کارتو جلو می‌بری؟
help,سیستم کارت چیه؟
help,چطور این کارو می‌کنی؟
help,چه مدلی کار می‌کنی؟
help,چطوری کارت رو پیش می‌بری؟
help,چجوری کارت رو انجام می‌دی؟
help,کارت چه جوری پیش می‌ره؟
help,چطور این کارو پیش می‌بری؟
help,چه شکلی کار می‌کنی؟
help,چطور کارت رو انجام می‌دی؟
help,کارتو چه طوری انجام می‌دی؟
help,می‌شه بگی چطوری کار می‌کنی؟
help,راه کارت چیه؟
help,می‌خوام بدونم چجوری کار می‌کنی؟
help,روشت برای کار چیه؟
help,چه جوری کارت رو پیش می‌بری؟
help,چطوری این کار رو می‌کنی؟
help,چه جوری کارتو جلو می‌بری؟
help,نحوه کارت چطوریه؟
help,چطوری این کار رو انجام می‌دی؟
help,چطور این کار رو جلو می‌بری؟
help,کارتو چه جوری پیش می‌بری؟
help,فرآیند کارت چطوریه؟
help,چه طوری کارت رو می‌کنی؟
help,چطوری انجامش می‌دی؟
help,چه شکلی این کارو انجام می‌دی؟
help,کارت رو چه طوری پیش می‌بری؟
help,چه جوری کارت رو پیش می‌بری؟
help,چطور کار می‌کنی؟
help,چه مدلی این کار رو انجام می‌دی؟
help,چجوری کار می‌کنی؟
help,کارت چطوریه؟
help,چطور انجامش می‌دی؟
help,روشت چیه؟
help,چیکار می‌کنی؟
help,چه جوری انجام می‌دی؟
help,نحوه کارت؟
help,کارت چطور پیش می‌ره؟
help,روش کاریت چطوره؟
help,چه مدلی کار می‌کنی؟
help,روشت چطوریه؟
help,کارتو چطور می‌کنی؟
help,چطور جلو می‌ری؟
help,چی کار می‌کنی؟
help,چطور پیش می‌بری؟
help,مکانیزمت چیه؟
help,چطوری پیش می‌ری؟
help,روش انجام کارت؟
help,چی‌جوری پیش می‌ری؟
help,فرآیند کارت چیه؟
help,نحوه کارت چطوره؟
help,چطور کارتو انجام می‌دی؟
help,سیستم کارت چطوریه؟
help,کارتو چه جوری انجام می‌دی؟
help,روال کارت چیه؟
help,مکانیزمت چطوریه؟
help,چطور پیش می‌بری؟
help,روش کاریت چطوریه؟
help,چجوری پیش می‌ری؟
help,کارتو چه مدلی انجام می‌دی؟
help,چه جوری کارت رو پیش می‌بری؟
help,کارت چطوری پیش می‌ره؟
help,چطوری این کارو انجام می‌دی؟
help,روشت برای کار چیه؟
help,چی کار می‌کنی؟
help,چه طوری کار می‌کنی؟
help,چه مدلی انجام می‌دی؟
help,چطوری انجامش می‌دی؟
help,مراحل کارت چیه؟
help,چطور پیش می‌ری؟
help,می‌تونی توضیح بدی که دقیقاً چه جوری کارتو انجام می‌دی و روشت چیه؟
help,چطور می‌تونی بگی که کارهای روزانه‌ات رو به چه شکلی پیش می‌بری؟
help,میشه توضیح بدی که فرآیند کارت چطور پیش می‌ره و چه مراحلی رو طی می‌کنی؟
help,من دوست دارم بدونم که چطوری کارت رو انجام می‌دی و روشت چیه؟
help,لطفاً بگو که نحوه انجام کارت به چه صورته و چطور پیش می‌ره؟
help,چه مراحلی رو برای انجام کارت طی می‌کنی و چطوری پیش می‌بری؟
help,اگر می‌تونی بگو که دقیقاً چطور کار می‌کنی و روشت چیه؟
help,چطور می‌شه فهمید که کارت رو چطور انجام می‌دی و از چه روشی استفاده می‌کنی؟
help,روال کاری‌ات چطوریه و چه مراحلی رو طی می‌کنی؟
help,چگونه می‌تونی توضیح بدی که کارهای روزانه‌ات رو چطور انجام می‌دی؟
help,آیا می‌شه بگی که دقیقاً کارت رو به چه شکلی پیش می‌بری؟
help,فرآیند کاری‌ات به چه صورته و چطور پیش می‌ره؟
help,مراحل انجام کارت چطوریه و چطور پیش می‌ری؟
help,می‌تونی بگی که کارت رو چطور انجام می‌دی و از چه روشی استفاده می‌کنی؟
help,نحوه انجام کارت چطوریه و روشت چیه؟
help,چه روالی رو برای کارت طی می‌کنی و چطور پیش می‌ری؟
help,آیا می‌تونی توضیح بدی که کارت چطور پیش می‌ره و چطوری انجامش می‌دی؟
help,لطفاً بگو که فرآیند کارت چطوریه و چطور پیش می‌ره؟
help,چه مراحلی رو برای انجام کارت طی می‌کنی و چطور پیش می‌ری؟
help,می‌تونی بگی که دقیقاً کارت رو به چه شکلی پیش می‌بری و از چه روشی استفاده می‌کنی؟
help,لطفاً توضیح بده که چگونه کارهایت را انجام می‌دهی و از چه روشی استفاده می‌کنی؟
help,می‌تونی بگی که فرآیند کارت چطور پیش می‌ره و چه تکنیکی استفاده می‌کنی؟
help,چه مراحلی رو برای انجام کارت طی می‌کنی و چطور به نتیجه می‌رسی؟
help,من علاقه‌مندم بدونم که روال کاری‌ات چطوریه و چطور انجامش می‌دی؟
help,می‌تونی توضیح بدی که چطور کارهای روزانه‌ات رو مدیریت می‌کنی و چطور پیش می‌ری؟
help,لطفاً بگو که کارت چطور پیش می‌ره و چه روشی داری؟
help,چه مراحلی رو در فرآیند کاری‌ات طی می‌کنی و چطور پیشرفت می‌کنی؟
help,می‌تونی بگی که دقیقاً چطور کارت رو انجام می‌دی و از چه روشی استفاده می‌کنی؟
help,نحوه انجام کارت به چه صورته و چطور پیش می‌ری؟
help,آیا می‌تونی توضیح بدی که کارهای روزانه‌ات رو به چه شکلی پیش می‌بری؟
help,فرآیند کارت به چه صورته و چطور انجامش می‌دی؟
help,مراحلی که برای انجام کارت طی می‌کنی چی هستن و چطور پیشرفت می‌کنی؟
help,می‌تونی بگی که چطور کارت رو انجام می‌دی و از چه تکنیکی استفاده می‌کنی؟
help,روال کاری‌ات به چه صورته و چطور پیش می‌ری؟
help,لطفاً توضیح بده که چطور کارت رو انجام می‌دی و چه روشی استفاده می‌کنی؟
help,چطور می‌شه فهمید که کارت رو چطور پیش می‌بری و از چه روشی استفاده می‌کنی؟
help,چه مراحلی رو برای پیشبرد کارت طی می‌کنی و چطور موفق می‌شی؟
help,آیا می‌تونی بگی که فرآیند کاری‌ات چطوریه و چطور پیش می‌ره؟
help,می‌تونی بگی که چطور کارت رو به نتیجه می‌رسونی و چه روشی داری؟
help,نحوه انجام کارت به چه شکلیه و چطور پیشرفت می‌کنی؟
help,help
help,تو چطوری کار میکنی
help,دیگه چی بلدی؟
help,راهنما
help,راهنما را بیار
help,راهنما رو بیار
help,راهنما رو میخوام
help,راهنما رو نشون بده
help,راهنمایی کن
help,لطفا راهنمایی بفرمایید
help,لطفا منو راهنمایی کن
help,منو
help,منو رو بیار
help,منو رو نشون بده
help,نحوه کارکرد
help,نحوه کارکرد شما چگونه است
help,چجوری کار میکنی
help,چطور باهات کار کنم
help,چطور میشه با تو کار کرد
help,چطور کار میکنی
help,چطوری کار میکنی
help,چه خدمتی میتونی ارائه بدی
help,چه خدمتی میتونی بکنی
help,چه طور میشه با تو کار کرد
help,چه کار بلدی ؟
help,چه کار میتونی بکنی
help,چه کارا انجام میدی
help,چه کارا بلدی؟
help,چه کارا میتونی انجام بدی
help,چه کارا میتونی بکنی
help,چه کارایی انجام میدی
help,چه کارایی بلدی
help,چه کارایی میتونی انجام بدی
help,چه کارایی میتونی انجام بدی؟؟
help,چه کارایی میتونی بکنی
help,چه کارهای بلدی
help,چه کارهایی برای من می توانید انجام دهید
help,چه کارهایی میتونی انجام بدی
help,چه کاری میتونی بکنی
help,چه کمکی می‌تونی انجام بدی
help,چی بلدی
help,چی داری برام
help,چی داری برامون
help,چی چی بلدی
help,چیا بلدی
help,چیا بلدی؟
help,چیکار میتونی برام بکنی
help,کمک کن
help,هلپ
help,کمک
help,به چه دردی میخوری
help,جدیدا چیا بلد شدی؟
help,از خودت بگو
help,کار جدیدی یاد نگرفتی؟
help,یک بار دیگه بگو چه کار هایی میکنی
help,تو چی بلدی
help,چیکارا می تونی بکنی
help,چطور میشه باهات حرف زد ؟
help,چیکار بلدی بکنی
help,چکار بلدی
